0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obična mukinja - 63,Obična mukinja - 63,Obična mukinja - 63,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,
3-12.5,,2,1,1,,,2,,,,,,1,,,3-12.5,,,,,,
4-17.5,4,,,,,,,,,1,,,,,,4-17.5,1,,,,,
5-22.5,6,4,,2,,,,,,,,,,,,5-22.5,,,,1,,
6-27.5,2,,,5,,,,,,,,,,,,6-27.5,,,,,,
7-32.5,,,,,,,,,,,,,,,,7-32.5,,,,,,
8-37.5,,1,,1,,,,,,1,,,,,,8-37.5,,,,,,
