tocka;odsjek
1;2A
2;2A
3;2A
4;2A
5;2A
6;2A
7;2A
8;2A
9;2A
10;2A
11;2A
12;2A
13;2A
14;2A
15;2A
16;2A
17;2A
18;2A
19;2A
20;2A
21;2A
22;2A
23;2A
24;2A
25;2A
26;2A
27;1A
28;1A
29;1A
30;1A
31;1A
32;1A
33;1A
34;1A
35;1A
36;1A
37;1A
38;1A
39;1A
40;1A
42;1A
43;1A
44;1A
45;1A
46;1A
47;1A
48;1A
49;3A
50;3A
51;3A
52;3A
53;3A
54;3A
55;3A
56;3A
57;3A
58;3A
59;3A
60;3A
61;3A
62;3A
63;3A
64;3A
65;3A
66;3A
68;3A
69;3A
70;3A
71;3A
72;3A
73;3A
74;4A
75;4A
76;4A
77;4A
78;4A
79;4A
80;4A
81;4A
82;4A
83;4A
84;4A
85;4A
86;4A
87;4A
88;4A
92;5A
93;5A
94;5A
95;5A
96;5A
97;5A
98;5A
99;5A
100;5A
101;5A
102;5A
103;5A
104;5A
105;5A
106;5A
107;5A
108;5A
109;5A
110;5A
111;6A
112;6A
113;6A
114;6A
115;6A
116;6A
118;6A
119;6A
120;6A
121;6A
122;6A
123;6A
124;6A
125;6A
126;6A
127;6A
128;6A
129;6A
130;6A
131;6A
132;6A
133;6A
134;6A
135;7A
136;7A
137;7A
138;7A
139;7A
140;7A
141;7A
142;7A
143;7A
144;7A
145;7A
146;7A
148;7A
149;7A
150;7A
151;10A
152;10A
153;10A
154;10A
155;10A
157;10A
158;10A
159;10A
160;10A
161;10A
162;9A
163;10A
164;10A
165;10A
167;10A
168;10A
169;10A
170;10A
171;10A
172;10A
173;9A
174;10A
175;10A
176;10A
177;10A
178;13A
179;13A
180;13A
181;13A
182;13A
183;13A
184;13A
185;13A
186;13A
187;13A
189;13A
190;13A
191;13A
192;13A
193;13A
194;13A
195;9A
198;9A
199;9A
201;9A
202;9A
203;9A
204;9A
205;9A
206;9A
207;9A
208;9A
209;12A
210;12A
211;12A
212;12A
213;12A
214;12A
215;12B
216;12B
217;12B
218;12B
219;12B
220;12B
221;12B
222;12B
223;12B
224;12B
225;12B
226;12B
227;12B
228;11A
229;11A
230;11A
231;11A
232;11A
233;11A
234;11A
235;11A
236;11A
237;11A
238;11A
239;11A
240;11A
241;11A
242;11A
243;14A
244;14A
245;14A
246;14A
247;14A
248;14A
249;14A
250;14A
251;14A
252;14A
253;14A
254;14A
255;14A
256;14A
257;14A
258;14A
259;14A
260;14A
261;18A
262;18A
263;18A
264;18A
265;18A
266;18A
267;18A
268;18A
269;18A
271;18A
272;18A
273;18A
274;18A
275;18A
276;18A
277;18A
278;18A
279;18A
280;18A
281;18A
282;18A
283;18A
284;18A
285;18A
286;18A
288;13B
289;13B
290;13B
291;13B
292;19A
293;19A
294;19A
295;19A
296;19A
297;19A
298;19A
299;19A
300;19A
302;19A
303;19A
304;19A
305;19A
306;19A
307;19A
308;19A
309;19A
310;19A
311;19A
312;19A
313;19A
315;19A
316;20A
317;20A
318;20A
319;20A
320;20A
321;20A
322;20A
323;20A
324;20A
325;20A
326;20A
327;20A
328;20A
329;20A
330;20A
331;20A
332;20A
334;21A
335;21A
336;21A
337;21A
338;21A
339;21A
340;21A
341;21A
342;21A
343;21A
344;21A
345;21A
346;21A
347;21A
348;21A
349;21A
350;21A
351;21A
352;21A
353;21A
354;21A
355;21A
356;21A
357;21A
358;21A
359;21A
360;21A
361;21A
362;21A
363;22A
364;22A
365;22A
366;22A
367;22A
368;22A
369;22A
370;22A
371;22A
372;22A
373;22A
374;22A
375;22A
376;22A
377;22A
378;22A
379;22A
380;22A
381;22A
382;22A
383;22A
384;23A
385;23A
386;23A
387;23A
388;23A
389;23A
390;23A
391;23A
392;23A
393;23A
394;23A
395;23A
396;23A
397;23A
398;23A
399;23A
400;23A
401;23A
402;23A
403;23A
404;23A
405;23A
406;23A
407;23A
408;23A
409;24A
410;24A
411;24A
412;24A
413;24A
414;24A
415;24A
416;24A
417;24A
418;24A
419;24A
420;24A
421;24A
422;24A
423;24A
424;24A
425;24A
427;24A
428;24A
429;25A
430;25A
431;25A
432;25A
433;25A
434;25A
435;25A
436;25A
437;25A
438;25A
439;25A
440;25A
441;25A
442;25A
443;25A
444;25A
445;25A
446;25A
447;25A
448;25A
449;25A
450;25A
451;25A
452;25A
453;17A
454;17A
455;17A
456;17A
457;17A
458;17A
459;17A
463;17A
464;17A
466;17A
468;17A
469;17A
470;17A
471;17A
472;17A
473;17A
474;17A
476;17A
477;17A
478;17A
480;16A
482;16A
483;16A
484;16A
485;16A
486;16A
489;16A
490;16A
491;16A
492;16A
494;16A
495;16A
496;16A
497;16A
498;16A
499;16A
501;16A
502;16A
503;16A
504;16A
505;16A
506;16A
507;16A
508;16A
509;16A
510;16A
511;15A
517;15A
518;15A
519;15A
520;15A
521;15A
522;15A
523;15A
525;15A
526;15A
528;15A
529;15A
530;15A
531;15A
532;15A
535;15A
536;15A
538;15A
541;15A
542;15A
543;15A
546;9B
548;9B
551;9B
552;9B
553;9B
554;9B
559;9B
561;9B
562;9B
563;9B
564;9B
565;9B
566;9B
567;9B
569;8A
571;8A
573;8A
574;8A
575;8A
576;8A
577;8A
578;8A
580;8A
581;8A
585;8A
587;8A
588;8A
591;8A
592;8A
593;8A
599;4B
602;4B
603;4B
604;4B
608;4B
609;4B
